name,lat,lng,title,imageURL
東京都世田谷区,35.6365,139.6345,「ウルトラマンシリーズ」,https://animetourism88.com/wp-content/uploads/2023/09/ULTRAMAN_Setagaya_main.jpg
東京都世田谷区,35.6365,139.6345,秒速5センチメートル,https://animetourism88.com/wp-content/uploads/2023/12/5cmpersecond_gotokuji_sub.jpg
東京都世田谷区,35.6365,139.6345,ぼっち・ざ・ろっく！,https://animetourism88.com/wp-content/uploads/2024/04/43_%E3%81%BC%E3%81%A3%E3%81%A1%E3%83%BB%E3%81%96%E3%83%BB%E3%82%8D%E3%81%A3%E3%81%8F.jpg
東京都渋谷区,35.6668,139.6926,夜のクラゲは泳げない,https://animetourism88.com/wp-content/uploads/2025/02/%E5%A4%9C%E3%81%AE%E3
東京都渋谷区,35.6668,139.6926,ラブライブ！スーパースター!!,https://animetourism88.com/wp-content/uploads/2023/12/LSPED1_023_T4_00078_re.jpg
東京都豊島区,35.7291,139.715,『冴えない彼女の育てかた』シリーズ,https://animetourism88.com/wp-content/uploads/2023/09/shf_3_.jpg
東京都豊島区,35.7291,139.715,その着せ替え人形は恋をする,https://animetourism88.com/wp-content/uploads/2024/05/43_bsq_sc2.jpg
東京都豊島区,35.7291,139.715,デュラララ!!,https://animetourism88.com/wp-content/uploads/2023/12/durarara_main.jpg
東京都豊島区,35.7291,139.715,『BanG Dream! 』シリーズ,https://animetourism88.com/wp-content/uploads/2024/04/BangDreamMygoKV.jpg
東京都練馬区光が丘,35.7617,139.6313,デジモンアドベンチャー,https://animetourism88.com/wp-content/uploads/2023/12/dm9902908-10_.jpg
新潟県三条市,37.5398,139.0852,Do It Yourself!! -どぅー・いっと・ゆあせるふ-,https://animetourism88.com/wp-content/uploads/2024/04/70_DIY_KV.jpg
富山県上市町,36.6623,137.4248,おおかみこどもの雨と雪,https://animetourism88.com/wp-content/uploads/2023/09/Okamikodomo_main.jpg
